Term,Year,Internship Site,Title (if applicable),Location,Latitude,Longitude,Notes (if any),Notes on Location
Spring,2012,Sungmisan School,Intern Teacher,"Seoul, South Korea",,,,
Summer,2020,Sundrees Boutique & Buttonwood Design,Marketing Coordinator,"Trumansburg, New York",42.5422939,-76.6660589,,
Winter,2000,Suncoast Seabird Sanctuary,Bird Rehabilitation Assistant,"Indian Shores, Florida",27.862801,-82.8484373,,
Winter,1986,Summertime Cruises,Apprentice,"Brooklin, Maine",44.266137,-68.5690623,,
Summer,2006,Summerbridge English Program,Faculty,"Boca Raton, Florida",26.3586885,-80.0830984,,
Summer,2009,Summer Field Studies College of the Atlantic ,Program Leader,"Bar Harbor, Maine ",,,,
Summer ,2010,Summer Field Studies at COA,Assistant Camp Counselor,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1998,Summer Field Studies at COA,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,Newspaper Clippings,
Summer,1999,Summer Field Studies - COA,Assistant Program Leader,"Bar Harbor, Maine",44.3876378,-68.2043361,1999 Summer Field Studies pamphlet not scanned,
Summer,2003,Summer Field Studies,Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2017,Summer Field Studies,Assistant Program Leader,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2011,Summer Field Studies,Assistant Program Leader,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2003,Summer Field Studies,Program Leader,"Bar Harbor, Maine",44.3876378,-68.2043361,SFS brochure,
Summer,2001,Summer Field Studies,Program Leader,"Bar Harbor, Maine",44.3876378,-68.2043361,Included SFS 2001 brochure,
Summer,2010,Summer Field Studies,Program Leader,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1999,Summer Field Studies,Intern,"Bar Harbor, Maine",,,,
Summer,2005,Summer Field Studies,Camp Counselor,"Bar Harbor, Maine",,,,
Summer,2000,Summer Field Studies,Assistant Program Leader,"Bar Harbor, Maine",,,,
Summer,1986,Summer Adventure Program,Intern,"Blue Hill, Maine",44.414164,-68.58696,,
Fall,2015,Studio Tomasi Associati,Intern,"Schio, Italy",45.7113511,11.3553593,,
Spring,1979,Studio 3,Graphic Design Intern,"Ellsworth, Maine",44.5414036,-68.4243047,"Architect, designed GATES, newspaper clippings",
Spring,1979,Student Internship in Econmic Development Program,Firewood Processors,"Newton, Massachusetts",,,,
Winter,1992,Student Environmental Action Coalition University of North Carolina,Intern,"Chapel Hill, North Carolina",35.9131542,-79.05578,Brochure Included,
Summer,2002,Student Conservation Association,Crew Leader,"Charlestown, New Hampshire",43.2383483,-72.4247132,,
Summer,1980,Student Conservation Association,Intern,"Mount Rainier National Park, Washington",,,,
Spring,1986,Strong Canoe Yard,Apprentice,"Craftsbury Common, Vermont",,,,
Fall-Winter,1992,Stonnington Youth Office,Office Intern,"Stonington, Connecticut",41.344923,-71.92785,,
Summer,2003,Stoney End Harps,Apprentice,"Red Wing, Minnesota",,,,
Winter-Summer,1982,Stone Environmental School,Intern,"Groton, Massachusetts",,,,
Spring,1983,Stone Enviromental School,Intern,"Ocean Park, Maine",43.5000081,-70.3861372,,
Fall,2005,Steve Lavigne,Cartoon Apprentice,"Wells, Maine",,,,
Winter,2007,Steve Double,Assistant,"London, UK",,,,
Summer,2017,Sterling Publishing,Childrens Book Editorial Intern,"New York, New York",,,,
Summer,2011,Sterling Caviar,Fisheries Technician,"Wilton, California",,,,
Summer,1982,State of Maine Department of Environmental Protection,Intern,"Augusta, Maine",,,,
Summer,1978,State of Alaska Department of Fish and Game,Intern,"Anchorage, Alaska",61.2163129,-149.894852,,
Summer,2014,St. Mary Nutrition Center,Youth Fellow,"Lewiston, Maine",,,,
Summer,2021,St. John's College Memorial Library,Circulation and Archive Assistant,"Santa Fe, New Mexico",35.6876096,-105.938456,,
Summer,1983,St. George's School,First Mate,"Newport, Rhode Island",41.4899827,-71.3137707,,
Summer,2015,Spring works Farm Maine Inc.,Intern,"Lisbon, Maine",44.0314649,-70.1044975,,
Summer,2021,Spork Press,Marketing Preproduction Assistant,"Tucson, Arizona",32.2228765,-110.974847,,
Summer ,2017,Spork Press,Publishing Intern,"Tucson, Arizona",32.2228765,-110.974847,,
Winter ,2016,SPCA of Hancock County,Intern,"Trenton, Maine",44.439173,-68.370667,,
Summer,2011,Spacing Magazine,Editorial Intern,"Toronto, Ontario",43.6534817,-79.3839347,,
Fall,2005,Southland Museum and Art Gallery,Museum Studies Intern,"Invercargill, New Zealand",,,,
Summer,2011,Southern Utah Wilderness Alliance,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
NA,NA,Southern Bell,NA,NA,,,,
Winter,2002,South Yuba River Citizens League (SYRCL),Intern,"Nevada City, California",39.2615606,-121.0160594,,
Summer,2012,South Paw Farm / Fuzzy Udder Creamery,Intern,"Oakland, Maine",44.5403436,-69.7219916,,
Spring,1998,South Pacific Action Committee for Human ecology and Environment,Intern,"Suva, Fiji",,,,
Fall,1993,South Hight School,Teacher Assistant,"Minneapolis, Minnesota",44.9772995,-93.2654692,,
Summer,1989,South Florida Research Center in Everglades National Park,Research Assistant,"Homestead, Florida",25.4718946,-80.4759905,,
Winter,1994,South Central University for Nationalities,Teacher,"Wuhan, China",30.5951051,114.2999353,,
Winter,2013,Source Farm Ecovillage,Sustainable Living Apprentice,"St Thomas, Jamaica",17.9716306,-76.4414306,,
Spring,1990,Sound Experience,Intern,"Poulsbo, Washington",47.7391366,-122.63928,,
Summer,2009,SOS Children's Villages Swaziland,Development Intern,"Mbabane, Eswatini",-26.325745,31.144663,,changed country to Eswatini from Swaziland
Summer,2012,Somes-Meynell Wildlife Sanctuary,Field Assistant,"Somesville, Maine",44.3622582,-68.3341769,,
Summer,2002,Somes-Meynell Wildlife Sanctuary,Research Assistant,"Mt. Desert, Maine",,,,
Fall,1981,Solar Energy Research Institute,Apprentice,"Golden, Colorado",,,Physical file SERIscope Volume V No.22,
Spring,2022,Societe de Developpment Economique de Perce,Project Manager,"Perce, Quebec, Canada",,,,
Fall,2018,Societa Agricola Scala,Intern,"Calabria, Italy",,,,
Winter,2015,Sociedad Potosina de Ecologia,Intern,"Potosí, Bolivia",-20.666667,-66.666667,,
Summer ,2004,Snell Family Farm,Farm Worker,"Bar Mills, Maine",43.6133675,-70.5499318,,
Summer,2016,Smithsonian Tropical Research Institute,Research Assistant,"Panama City, Panama",8.9714493,-79.5341802,2016 Jackson Labortory Pamphlet,
Summer,2005,Smithsonian Office of Exhibit Central,Graphics Unit Intern,Washington D.C.,,,,
Summer,2017,Smithsonian Environmental Research Center (SERC),Intern,"Edgewater, Maryland",38.9344805,-76.5575862,,
Summer,2007,Smithsonian Environmental Research Center,Research Assistant,"Edgewater, Maryland",38.9344805,-76.5575862,,
Summer,2019,Smithsonian American Art Museum,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Summer,2007,Smith Family Garden,Timber Farming Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1984,Small Scale Farm,Laborer,"Blue Hill, Maine",44.414164,-68.58696,,
Winter,2004,Slide Ranch,Winter Intern,"Muir Beach, California",,,,
Summer ,2002,Skowhegan School of Painting and Sculture,Education Staff Assistant,"New York, New York",40.741895,-73.989308,,
Winter,1983,Skitikuk,Student Teacher,"Orono, Maine",44.883607,-68.672791,,
Spring,1993,Sisters of Charity Hospital,Medical Intern,"Buffalo, New York",42.8867166,-78.8783922,,
Spring,1986,Sirius Community,Intern,"Shutesbury, Massachusetts",,,,
Fall,1995,Shirati Hospital,Intern,"Shirati, Tanzania",-1.151039,34.030873,,
Winter,2000,Shelburne Museum,Education Programs Researcher,"Shelburne, Vermont",,,,
Summer,2018,Sheep Meadow and North haven Apiary,Assistant,"North Haven, Maine",44.127633,-68.8726719,,
"Fall, Winter, Spring, Summer",2013-2014,Shaver's Creek Environmental Center,Envionmental Education Intern,"Petersburg, Pennsylvania",,,,
Summer,2007,Shalom Orchard and Winery,Intern,"Franklin, Maine",,,,
Summer,2015,Sexual Assault Responce Services of Southern Maine,intern,"Portland, Maine",,,,
Spring,2013,Serendipity/Bar Harbor Food Pantry,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2021,SEO Digital Group,Intern,"Philadelphia, Pennsylvania",39.9527237,-75.1635262,,
Fall,1993,Seneca Indian Historical Society,Intern,"Irving, New York",42.5675589,-79.1128169,,
Spring,1997,Senator Jill Goldthwait,Intern,"Bar Harbor, Maine",,,,
Winter,2006,Sekolah Pelita Harapan,Teacher,"Java, Indonesia",-6.2619139,106.8131069,"coordinates for ""Sekolah Pelita Harapan, Jalan Kemang Village, Mampang Prapatan, Special Capital Region of Jakarta 12730, Indonesia""",
Summer,2017,SEFI Research,SEFI Research Assistant,"Petaluma, California",38.2325829,-122.636465,,
Summer ,2012,Seedlight Productions,Assistant Documentarian,"Portland, Maine",43.6573515,-70.2584115,,
Summer,2010,Secretaria Nacional del Migrante Ecuador,Intern,"Quito, Ecuador",-0.2201641,-78.5123274,,
Spring,2017,Seattle's center on Contemporary Art,Intern,"Seattle, Washington",47.60396746,-122.3384389,,
Winter,2009,Seaport Survey and seaport Yarn,Intern,"Portland, Maine",,,,
Summer,2019,Seacoast Science Center,Environmental Education Intern,"Rye, New Hampshire",,,,
Summer,2019,Sea Glass Gardens,Intern,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Fall,2008,Sea Education Association,Assistant Engineer,"Woods Hole, Massachusetts",,,,
Summer,2006,Sea Coast Managment Company,Intern,"Topsham, Maine",43.9353225,-69.9666145,,
Summer,1986,Science Center of New Hampshire,Intern,"Holderness, New Hampshire",,,,
Summer,2010,Schooner Inc.,Lead Educator,"New Haven, Connecticut",41.306745,-72.903814,,
"Spring, Summer",2002,Schooner Ernestina Commission,Intern,"New Bedford, Massachussetts",41.6362152,-70.934205,,
Summer ,2013,School of the Art Institute of Chicago,Production Intern,"Mount Desert Island, Maine",44.3330869,-68.2407865,,
Summer,2021,Schoodic Institute,Intern,"Winter Harbor, Maine",44.395523,-68.083649,,
Summer ,2016,Schoodic Institute,Intern,"Winter Harbor, Maine",44.395523,-68.083649,,
Summer,2021,Schoodic Institute,Seasonal Shellfish Intern,"Winter Harbor, Maine",44.395523,-68.083649,,
Fall,1989,Scattergood Friends School,Performing arts assistant,"West Branch, Iowa",41.6720735,-91.3459735,,
Winter,1991,Scaena Studio,Intern,"Larton, Virginia",,,,
Spring,2010,Savenet Sacco,Intern,"Jinja, Uganda",0.5751567,33.2805299,,
"Spring, Summer",2000,Save the sound,Research Intern,"Stamford, Connecticut",41.0571126,-73.53856772,,
Summer,2002,Savannah River Ecology Laboratory,Research Assistant,"Aiken, South Carolina",33.5616173,-81.7224579,,
Winter,1992,Saratogain Newspaper,Intern,"Saratoga Springs, New York",43.0821793,-73.7853915,A lot of pages are really faded,
Fall,1986,Saratoga Community Gardens,Intern,"Saratoga, California",,,,
Winter,2011,Sarasota Dolphin Research Program,Intern,"Sarasota, Florida",,,,
Summer,2010,SAORI Worcester,Intern,"Worcester, Massachusetts",42.2625621,-71.8018877,,
Spring,1999,Santa Maria Community Center,Intern,"Cincinnati, Ohio",39.113456,-84.51325527,,
Summer,2003,Santa Ana Refuge,Intern,"Alamo, Texas",26.1836854,-98.1230638,,
Fall,2012,Santa Ana National Wildlife Refuge,Intern,"Alamo, Texas",26.196339,-98.108262,,
Summer,2011,Sandra Bove OTR,Occupational Therapist Intern,"Brandon, Vermont",43.7982806,-73.087913,,
Winter,2006,San Francisco Department of the Enviroment ,Intern,"San Francisco, California",37.7792588,-122.4193286,,
Summer,2015,San Bruno Mountain Watch,Intern,"Brisbane, California",37.687165,-122.402794,,
Summer,1988,Salt Pond City Community Broadcasters,Intern,"Blue Hill, Maine",44.414164,-68.58696,,
Fall,1981,Salt Magazine,Intern,"Kennebunkport, Maine",43.362131,-70.477295,,
Summer,2002,Salstice Organic Farm,Farm Apprentice,"Bonners Ferry, Idaho",48.6912781,-116.31614,,
Summer,"1978, 1979, 1980",Saint Paul Construction Company,Intern,"Monrovia, Liberia",6.328034,-10.797788,,
Summer,2004,Saint Francis by the Sea Episcopal Church,Research Assistant,"Blue Hill, Maine",44.414164,-68.58696,,
Summer,1980,Saddletramp Ranch,Intern,"South Bank, British Columbia",54.0163283,-125.7671929,Newspaper Clippings not included,
Summer,2019,Sacred Tides,Administrative Assistant,"Scarborough, Maine",,,,
Winter,2017,Sack & Reicher,Landscape Architecture,"Tel Aviv, Israel",,,,
Spring,2020,Run Maine,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,1997,Roque Island Gardener Homestead Corp.,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1996,Rolling Thunder Organics,Intern,"Montrose, West Virginia",39.0684376,-79.8103467,,
Summer,2011,Rogue Island,Intern,"Roque Island, Maine",44.5804897,-67.5252316,,
Spring,1999,Rogers Environmental Education Center,Naturalist Intern,"Sherburne, New York",42.6781266,-75.4985123,,"cannot find SHELBOURNE which was entered, coordinates for SHERBURNE, deduced from institution site"
Summer,2016,Rocky Mountain Biological Laboratory,Research Assistant,"Crested Butte, Colorado",38.8698201,-106.984043,,
Winter,2014,Rocky Manns Ceramic Studio,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2015,Rocky Manns Ceramic Studio,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2009,Rocky Mann's Pottery Studio,Apprentice,"Hulls Cove, Maine",44.410904,-68.252544,,
Winter,2013,Rocky Mann's Pottery Studio,Pottery Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2006,Rocky Mann Pottery Studio,Potter's Assistant,"Bar Harbor, Maine",,,,
Winter,1981,Rock Maple Farm,Intern,"Dover-Foxcroft, Maine",45.183489,-69.2276,,
Winter,1980,Roc Caivano,Intern,"Mount Desert Island, Maine",44.3330869,-68.2407865,,
Summer,"2015, 2016, 2017",Robin's Nest Camp,Intern,"Sullivan, Maine",44.5203554,-68.1966797,,
Fall,1998,Robert Turner,Intern,NA,,,,
Summer,2008,RJL Investors,Intern,"Bar Harbor, Maine",,,,
Summer,2007,RJ Investments,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1999,Riverwood Field Laboratory,Research Assistant,"Cornwell, Florida",27.3786521,-81.0967332,,
Summer,2002,River and Sarah Bean,Intern,"Palmer, Alaska",61.5995703,-149.11109,,
Fall,2008,Rising Sun School,Intern,"Mount Desert, Maine",44.3486501,-68.3435443,,
Summer,2016,Rippleffect,Guide,"Portland, Maine",43.6573515,-70.2584115,,
Summer,2014,Revive Health,Communication Coordinator,"Nashville, Tennessee",,,,
Winter,2016,Restorative Justice Project of the Midcoast,Intern,"Belfast, Maine",44.4261486,-69.0067249,,
Summer,2020,Restorative Justice Project,Intern,"Belfast, Maine",,,,
Fall,2019,Resources in Movement,Intern,"Holderness, New Hampshire",43.732406,-71.588974,,
Fall,2006,Resource Center of the Americas,Intern,"Menneapolis, Minnesota",,,,
Spring/Summer,1977,Residence of Ernest Mcmullen,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2002,Rendon Group Productions,Production Assistant,"Boston, MA",,,,
Summer,2018,Refugee Immigration Ministry,Intern,"Medford, MA",,,,
Winter,2019,Redpath Museum,Intern,"Montreal, Quebec",45.5031824,-73.5698065,,
Summer,1997,Redfield's Restaurant,Intern,"Northeast Harbor, Maine",,,,
Summer,2015,Red Fire Farm,Farm Intern,"Montague, Massachusetts",,,,
Summer,1995,Red and Black Book,Volunteer,"Seatle, Washington",47.589298,-122.384975,,
,2018,Rebekah Cook Art Studio,Intern,"Wakefield, Rhode Island",41.437324,-71.5014469,,
Winter,1997,Reading Retreats in Rural Italy,Director Assistant,"Bologna, Italy",44.4938203,11.3426327,,
"Winter, Spring, Summer",1999,Rare Medium Inc,Design Intern,"New York, New York",,,,
Summer,2012,Ramapo for Children,Intern,"Rhinebeck, New York",41.9267604,-73.912763,,
Spring,1997,Radio for Peace International,Project Coordinator,"Santa Ana, Costa Rica",,,,
Winter,1997,Quaker Bonnet,Intern,"Buffalo, New York",42.8867166,-78.8783922,,
Summer,1994,Pushaw Pond Pottery,Intern,"East Corinth, Maine",45.0025665,-69.0236499,,
Winter,1978,Pugh-Roberts Associates,Intern,"Cambridge, Massachusetts",,,,
Summer,2006,Public Citizen: Global Trade Watch,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Fall,1990,Proyecto Arqueologico Rumicucho of Banco Central,Intern,Ecuador ,-1.3397668,-79.3666965,,"coordinates for ""Ecuador"", could not find the specific project site"
Fall,2017,Project Terrrapin,Student Researcher,"Barnegat Bay, New Jersey",39.7851208,-74.1557072,,
Summer,2022,Project Coyote,Communications Intern,Northern California (Remote Work),,,,
Fall,1983,Project Adventure,Intern,"Gloucester, Massachusetts",42.6159286,-70.6619888,,
Spring,2014,Programas de Immersion Cultural en Yucatan,Assistant Anthropologist ,"Yucatan, Mexico",,,,
Summer,1982,"Professional Designs, Inc.",Draftman,NA,,,,
Summer,2013,Productions Carmagnoles,Assistant to Artist Director,"Montreal, Quebec",45.5031824,-73.5698065,,
Summer,2018,Private Estate on MDI,Seasonal Gardener,"Mount Desert Island, Maine",44.3330869,-68.2407865,,
Fall,1993,Private Contractor,Laborer,"Charleston, Maine",45.0850615,-69.0405949,,
Fall,2007,Priority Actions Programme/Regional Activity Center,Intern,"Split, Croatia",,,,
Spring,2008,Priority Actions Programme/Regional Activity Center,Intern,"Split, Croatia",,,,
Summer,1988,Prior Internship Experiences,NA,NA,,,Waived requirement due to extensive prior work experience.,
-,2017-18,Prior Fulfillment of Internship Requirement,Intern,"Oberlin, Ohio",41.2939386,-82.2173786,,
Winter-Spring,2007,Prior Fulfillment of Internship Requirement,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
NA,Varied,Prior Fulfillment of Internship Requirement,Photographer,NA,NA,NA,,For coordinates: https://www.gps-coordinates.net/
,2002-03,Prior Fulfillment of Internship Requirement,Student Teacher,"Raymond, Maine",43.901851,-70.470428,,
Summer,2008,Prior Fulfillment of Internship Requirement,Farm Intern,"Siena, Italy",,,,
Summer,2006,Prior Fulfillment of Internship Requirement,Trail Intern,"Blue Hill, Maine ",,,,
Fall,1978,Princeton Education Center at Blairstown,Intern,"Blairstown, New Jersey",40.98006611,-74.95995734,,
Summer,2022,Primo Restaurant ,Kitchen Assistant,"Rockland, Maine",44.104831,-69.1092025,,
Spring,2012,Primeros Pasos,Child Health Educator,"Quetzaltenango, Guatemala",,,,
Summer,1996,Presbyterian Camp and Conference Center,Camp Counselor,"Johnsonburg, NJ",,,,
Summer,2021,Powderhorn Saloon,Server/Bartender,"Bragg Creek, Alberta",,,,
Fall,2000,Portland Adult Education,Teacher Assistant,"Portland, Maine",43.6573515,-70.2584115,,
Spring,2020,Pork Hill Farm,Farm Apprentice,"Ossipee, New Hampshire",,,,
Fall ,2008,PLAY!YA,Social Worker,"Berlin, Germany",,,,
Summer,1984,Plantscape,Landscaper,"Millbrook, New York",,,,
Fall,2001,Planned Parenthood of West washington,Intern,"Olympia, Washington",47.0451022,-122.8950075,,
Summer,2006,Planned Parenthood of Northern New England,Grassroots Organizational Assistant,"Scarborough, Maine",43.5909038,-70.3395776,,
Winter,1993,Planned Parenthood,Intern,Washington D.C.,,,,
Winter,1993,Planned Approach to Community Health,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1982,Pioneer Valley Montessori School,Student Teacher,"Springfield, Massachussets",42.1018764,-72.5886727,,
Summer,2001,Piedment Enviromental Council,Field Office Intern,"Charlottesville, VA",,,,
Summer,2015,Philippine Movement for Climate Justice,Intern,"Quezon City, Philippines",,,,
Winter,2018,Petr and Veronika Pottery,Intern,"Zbysov, Czech Republic",,,,
Summer,1992,Petit Manan National Wildlife Refuge,Intern,"Petit Manan Island, Maine",44.3674096,-67.8654211,,
NA,NA,Petit Manan National Wildlife Refuge,Research Assistant,"Petit Manan Island, Maine",44.3674096,-67.8654211,,
Summer,1991,Petit Manan National Wildlife Refuge,Research Assistant,"Petit Manan Island, Maine",44.3674096,-67.8654211,,
Summer,1991,Petit Manan National Wildlife Refuge,Research Assistant,"Petit Manan Island, Maine",44.3674096,-67.8654211,,
Summer,1991,Peterborough Players,Theater Apprentice,"Peterborough, New Hampshire",42.8776166,-71.949383,,
Summer,1978,Peter H. Wrege,Research Assistant,"Merritt Island, Florida",,,,
Fall,2013,Pest Control Office in NYC,Project Photographer and Assistant to Project Coordinator,"New York, New York",40.741895,-73.989308,,
Winter,2007,Perishable Theather Company,Intern,"Providence, Rhode Island",41.8239891,-71.4128343,,
Summer-Fall,2000,Performance Space 122,Intern,"New York, New York",,,,
Summer,2014,Peoples Coalition of Food Sovereignty (PCFS),Colombian Delegation Assistant,"Cundinamarca, Colombia",5.1096596,-74.0995854,,
Fall,2005,Penobscot Theater,Intern,"Bangor, Maine",,,,
Summer,2016,Penobscot Resouce Center,Fisheries Education Intern,"Mount Desert island, Maine",,,,
Winter,2004,Penobscot JobCorps Center,Media Intern,"Bangor, Maine",44.8016255,-68.7713289,,
Summer ,2009,Penobscot East Resource Canter and Zone C Lobster Hatchery,Technician Intern,"Stonington, Maine",44.156593,-68.667297,,
Summer,2019,Pennyback Farm and Education Center,Farm Intern,"Horsham, Pennsylvania",40.1784422,-75.1285061,,
Winter,1986,Pemetic Elementary School,Intern,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Fall,2019,Pemetic Elementary School,Teacher Assistant,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Fall ,1993,Pelagic Shark Research Foundation,Research Assistant,"Santa Cruz, California",37.050096,-121.99059,,
Winter,2011,Peggy Rockefeller Farm,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2013,Peacock Builders,Intern,"Town Hill, Maine",44.3986898,-68.3336281,,
Summer,2015,Peacock Builders,Intern,"Bar Harbor, Maine",,,,
Summer,1999,Peabody Essex Museum,Intern,"Salem, Massachusetts",,,,
Fall,1994,Paul Monfredo,Framing Assistant,"Manset, Maine",44.268136,-68.3127941,,
Summer,2005,Pakal B'alam,Asistente Administrativo,"Tecpan, Guatemala",,,,
Summer,2006,Overlook Farm,Intern,"Rutland, Massachusetts",42.3767722,-71.9543851,,
Spring,2020,Ovative,Talent Operations Intern,"Minneapolis, Minnesota",,,,
Summer,1997,Outward Bound,Intern,"Baltimore, Maryland",39.2908816,-76.610759,,
Winter,1999,Outward Bound,Intern,Florida,27.7567667,-81.4639835,,no specific site location for more specific coordinates
Winter,2001,OUTRIGHT,Intern,"Ellsworth, Maine",,,,
Summer ,1988,Outdoor Leadership Program,Intern,"Greenfield, Massachusetts",42.5876342,-72.6002068,,
Winter,2018,OSA wildlife sanctuary,Intern,"Puntarenas, Costa Rica",9.0954373,-84.200431,,
Summer,2008,Osa Sea Turtle Conservation Program,Field Assistant,"Carate, Costa Rica",,,,
Winter,2000,Organization of the American States,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Fall,1975,Oregon Natural Heritage Program,Graphic Artist,"Portland, Oregon",,,,
Summer-Fall,2021,Open Table MDI,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2009,Ondeck Ocean Racing,Intern,Virgin Islands,17.789187,-64.7080574,,
Fall,2008,On the Rocks,Intern,"Chicago, Ilinois",41.8755616,-87.6244212,,
Winter,2001,Olive Jar Studio,Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Summer,2007,Olin College of Engineering,Research Student,"Needham, Massachussets",42.2802645,-71.2360624,,
Summer,2018,Old Dog Baking Co.,Intern,"Mount Desert, Maine",44.3486501,-68.3435443,,
Summer,2010,Old Athens Farm,Farm Manager,"Putney, Vermont",,,,
Summer,1993,Okefenokee National Wildlife Refuge,Intern,"Folkston, Georgia",30.8305818,-82.0097846,,
Summer,2018,Ogasawara Marine Center,SeaTurtle Conservationist & Surveyer,"Ogasawara, Japan",27.1416228,142.2038688,,
Fall,2012,Office of Senator Sheldon Whitehouse,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Fall,1978,Office of Environmental Programs at the Port of Authority of NY & NJ,Intern,"Washington, D.C.",,,Not scanned: Circumpolar Conservation Union magazine and papers,
Summer,2007,Office of Congressman Frank Wolfe,Intern,"Centreville, Virginia",38.047638,-77.8169377,,
Summer,1982,Ocmulgee National Monument,Intern,"Macon, Georgia",32.8406946,-83.6324022,"PUT ASIDE 4 Pages not scanned, photos taped to paper.",
Summer,1991,Oceanarium Lobster Hatchery,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,1977,Ocean Research and Education Society (ORES),Intern,"Boston, Massachusetts",42.3554334,-71.060511,On research vessel 'Regina Maris',
Fall,2008,Obama for America,Finance Department Intern,"Chicago, Illinois",41.8755616,-87.6244212,,
Summer,2013,Oahu Army Natural Resources Program,Horticulture/Rare Plant Propagation,"Schofield Barracks, Oahu, Hawaii",,,,
Spring,2005,Nutrition Clinic,Intern,"Vancouver Island, Canada",49.5929495,-125.702557,,
Summer,2013,NSD Consulting Oy,Marketing Team Member,"Hyvinkää, Finland",,,,
Summer,1998,NRCS,Soil Conservation Technician,"Ellsworth, Maine",,,,
Spring,2002,NOVA,Research Assistant,"Boston, Massachusetts",42.3554334,-71.060511,,
Spring,1983,Not Man Apart Magazine,Intern,"San Francisco, California",37.7792588,-122.4193286,,
Fall,2000,Northern outdoors,Whitewater Raft Guide,"The Forks, Maine",45.3361624,-69.9672843,Included Northern Outdoors guide 2000,
Summer,2000,Northeastern university,Research Assistant,"Boston, Massachusetts",42.3554334,-71.060511,Included The peregrine Spring 2003,
Summer,2002,Northeastern University,Research Assistant,"Boston, Massachusetts",,,,
Summer,1989,Northeast Historic Film,Intern,"Blue Hill Farms, Maine",,,"Not scanned: Pamphlet and 2 ""Moving Image Reviews"" papers",
Summer,1997,Northeast Health Systems,Intern,"Beverly, Massachusetts",,,,
Summer ,2002,Northeast Harbor Fleet,Head Sailing Instructor,"Northeast Harbor, Maine",44.2942468,-68.2897381,,
Summer,1998,Northeast Connecticut Council of Governments (NECCG),Intern,"Dayville, Connecticut",41.8464872,-71.8875721,,
Winter,2005,North Woods Way,Intern,"Willimantic, Maine",45.3067165,-69.4083826,,
Winter,2021,North Spore,Assistant Mycologist,"Westbrook, Maine",43.6763036,-70.3663874,,
Summer,2022,North Fork Animal Welfare League,Animal Services Intern,"Southhold, New York",,,,
Summer,2022,NOAA,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Winter,2012,No Nasties,Intern,"Mumbai, India",19.0815772,72.8866275,,
Summer,1986,Nicaragua Network,Intern,Washington D.C.,38.91821796,-77.03725188,,
Winter,2001,NGO / Non Governmental Organization,Intern,"Nyahururu, Kenya",0.0333,36.3666,,
Fall ,2018,Next Step: Domestic Violence Project,Victim Support Advocate,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,2020,Next Step Dometic Violence Project,Direct Service and Support Group Advocate,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,2018,Newman and Gray Boatyard,Outdoor Storage Manager,"Cranberry Isles, Maine",44.256933,-68.2672625,,
Summer,1998,Newburyport Maritime Society,Intern,"Newburyport, Massachusetts",,,,
Winter,1990,New York State Affiliate,Coordinator of NYS-NARAL's annual Lobby Day,"NYC, NY",,,,
Summer,2011,New York Open Center,Intern,"New York, New York",40.741895,-73.989308,,
Summer-Fall,2012,New York Natural History Council,Intern,"New York, New York",40.741895,-73.989308,,
Spring ,1983,New York Botanical Gardens,Intern,"New York, New York",40.741895,-73.989308,,
Summer,2011,New York Botanical Garden,Forestry Intern,"New York, New York",,,,
